Grapheme	IPA	STRUCTURE
jɚ:t	j ɚː t	m n c
jɚ:u	j ɚː w	m n c
jɚ:ɥ	j ɚː ɥ	m n c
jɚ:w	j ɚː w	m n c
jɚ:y	j ɚː ɥ	m n c
jɚːi	j ɚː j	m n c
jɚːj	j ɚː j	m n c
jɚːk	j ɚː k	m n c
jɚːm	j ɚː m	m n c
jɚːn	j ɚː n	m n c
jɚːng	j ɚː ŋ	m n c
jɚːŋ	j ɚː ŋ	m n c
jɚːp	j ɚː p	m n c
jɚːt	j ɚː t	m n c
jɚːu	j ɚː w	m n c
jɚːɥ	j ɚː ɥ	m n c
jɚːw	j ɚː w	m n c
jɚːy	j ɚː ɥ	m n c
jɚi	j ɚ j	m n c
jɚj	j ɚ j	m n c
jɚk	j ɚ k	m n c
jɚm	j ɚ m	m n c
jɚn	j ɚ n	m n c
jɚng	j ɚ ŋ	m n c
jɚŋ	j ɚ ŋ	m n c
jɚp	j ɚ p	m n c
jɚt	j ɚ t	m n c
jɚu	j ɚ w	m n c
jɚɥ	j ɚ ɥ	m n c
jɚw	j ɚ w	m n c
jɚy	j ɚ ɥ	m n c
jɜ:i	j ɜː j	m n c
jɜ:j	j ɜː j	m n c
jɜ:k	j ɜː k	m n c
jɜ:m	j ɜː m	m n c
jɜ:n	j ɜː n	m n c
jɜ:ng	j ɜː ŋ	m n c
jɜ:ŋ	j ɜː ŋ	m n c
jɜ:p	j ɜː p	m n c
jɜ:t	j ɜː t	m n c
jɜ:u	j ɜː w	m n c
jɜ:ɥ	j ɜː ɥ	m n c
jɜ:w	j ɜː w	m n c
jɜ:y	j ɜː ɥ	m n c
jɜːi	j ɜː j	m n c
jɜːj	j ɜː j	m n c
jɜːk	j ɜː k	m n c
jɜːm	j ɜː m	m n c
jɜːn	j ɜː n	m n c
jɜːng	j ɜː ŋ	m n c
jɜːŋ	j ɜː ŋ	m n c
jɜːp	j ɜː p	m n c
jɜːt	j ɜː t	m n c
jɜːu	j ɜː w	m n c
jɜːɥ	j ɜː ɥ	m n c
jɜːw	j ɜː w	m n c
jɜːy	j ɜː ɥ	m n c
jɜi	j ɜ j	m n c
jɜj	j ɜ j	m n c
jɜk	j ɜ k	m n c
jɜm	j ɜ m	m n c
jɜn	j ɜ n	m n c
jɜng	j ɜ ŋ	m n c
jɜŋ	j ɜ ŋ	m n c
jɜp	j ɜ p	m n c
jɜt	j ɜ t	m n c
jɜu	j ɜ w	m n c
jɜɥ	j ɜ ɥ	m n c
jɜw	j ɜ w	m n c
jɜy	j ɜ ɥ	m n c
ji:i	j iː j	m n c
ji:j	j iː j	m n c
ji:k	j iː k	m n c
ji:m	j iː m	m n c
ji:n	j iː n	m n c
ji:ng	j iː ŋ	m n c
ji:ŋ	j iː ŋ	m n c
ji:p	j iː p	m n c
ji:t	j iː t	m n c
ji:u	j iː w	m n c
ji:ɥ	j iː ɥ	m n c
ji:w	j iː w	m n c
ji:y	j iː ɥ	m n c
jiːi	j iː j	m n c
jiːj	j iː j	m n c
jiːk	j iː k	m n c
jiːm	j iː m	m n c
jiːn	j iː n	m n c
jiːng	j iː ŋ	m n c
jiːŋ	j iː ŋ	m n c
jiːp	j iː p	m n c
jiːt	j iː t	m n c
jiːu	j iː w	m n c
jiːɥ	j iː ɥ	m n c
jiːw	j iː w	m n c
jiːy	j iː ɥ	m n c
jii	j i j	m n c
jij	j i j	m n c
jik	j i k	m n c
jim	j i m	m n c
jin	j i n	m n c
jing	j i ŋ	m n c
jiŋ	j i ŋ	m n c
jip	j i p	m n c
jit	j i t	m n c
jiu	j i w	m n c
jiɥ	j i ɥ	m n c
jiw	j i w	m n c
jiy	j i ɥ	m n c
jɪ:i	j ɪː j	m n c
jɪ:j	j ɪː j	m n c
jɪ:k	j ɪː k	m n c
jɪ:m	j ɪː m	m n c
jɪ:n	j ɪː n	m n c
jɪ:ng	j ɪː ŋ	m n c
jɪ:ŋ	j ɪː ŋ	m n c
jɪ:p	j ɪː p	m n c
jɪ:t	j ɪː t	m n c
jɪ:u	j ɪː w	m n c
jɪ:ɥ	j ɪː ɥ	m n c
jɪ:w	j ɪː w	m n c
jɪ:y	j ɪː ɥ	m n c
jɪːi	j ɪː j	m n c
jɪːj	j ɪː j	m n c
jɪːk	j ɪː k	m n c
jɪːm	j ɪː m	m n c
jɪːn	j ɪː n	m n c
jɪːng	j ɪː ŋ	m n c
jɪːŋ	j ɪː ŋ	m n c
jɪːp	j ɪː p	m n c
jɪːt	j ɪː t	m n c
jɪːu	j ɪː w	m n c
jɪːɥ	j ɪː ɥ	m n c
jɪːw	j ɪː w	m n c
jɪːy	j ɪː ɥ	m n c
jɪi	j ɪ j	m n c
jɪj	j ɪ j	m n c
jɪk	j ɪ k	m n c
jɪm	j ɪ m	m n c
jɪn	j ɪ n	m n c
jɪng	j ɪ ŋ	m n c
jɪŋ	j ɪ ŋ	m n c
jɪp	j ɪ p	m n c
jɪt	j ɪ t	m n c
jɪu	j ɪ w	m n c
jɪɥ	j ɪ ɥ	m n c
jɪw	j ɪ w	m n c
jɪy	j ɪ ɥ	m n c
jɨ:i	j ɨː j	m n c
jɨ:j	j ɨː j	m n c
jɨ:k	j ɨː k	m n c
jɨ:m	j ɨː m	m n c
jɨ:n	j ɨː n	m n c
jɨ:ng	j ɨː ŋ	m n c
jɨ:ŋ	j ɨː ŋ	m n c
jɨ:p	j ɨː p	m n c
jɨ:t	j ɨː t	m n c
jɨ:u	j ɨː w	m n c
jɨ:ɥ	j ɨː ɥ	m n c
jɨ:w	j ɨː w	m n c
jɨ:y	j ɨː ɥ	m n c
jɨːi	j ɨː j	m n c
jɨːj	j ɨː j	m n c
jɨːk	j ɨː k	m n c
jɨːm	j ɨː m	m n c
jɨːn	j ɨː n	m n c
jɨːng	j ɨː ŋ	m n c
jɨːŋ	j ɨː ŋ	m n c
jɨːp	j ɨː p	m n c
jɨːt	j ɨː t	m n c
jɨːu	j ɨː w	m n c
jɨːɥ	j ɨː ɥ	m n c
jɨːw	j ɨː w	m n c
jɨːy	j ɨː ɥ	m n c
jɨi	j ɨ j	m n c
jɨj	j ɨ j	m n c
jɨk	j ɨ k	m n c
jɨm	j ɨ m	m n c
jɨn	j ɨ n	m n c
jɨng	j ɨ ŋ	m n c
jɨŋ	j ɨ ŋ	m n c
jɨp	j ɨ p	m n c
jɨt	j ɨ t	m n c
jɨu	j ɨ w	m n c
jɨɥ	j ɨ ɥ	m n c
jɨw	j ɨ w	m n c
jɨy	j ɨ ɥ	m n c
jᵻ:i	j ᵻː j	m n c
jᵻ:j	j ᵻː j	m n c
jᵻ:k	j ᵻː k	m n c
jᵻ:m	j ᵻː m	m n c
jᵻ:n	j ᵻː n	m n c
jᵻ:ng	j ᵻː ŋ	m n c
jᵻ:ŋ	j ᵻː ŋ	m n c
jᵻ:p	j ᵻː p	m n c
jᵻ:t	j ᵻː t	m n c
jᵻ:u	j ᵻː w	m n c
jᵻ:ɥ	j ᵻː ɥ	m n c
jᵻ:w	j ᵻː w	m n c
jᵻ:y	j ᵻː ɥ	m n c
jᵻːi	j ᵻː j	m n c
jᵻːj	j ᵻː j	m n c
jᵻːk	j ᵻː k	m n c
jᵻːm	j ᵻː m	m n c
jᵻːn	j ᵻː n	m n c
jᵻːng	j ᵻː ŋ	m n c
jᵻːŋ	j ᵻː ŋ	m n c
jᵻːp	j ᵻː p	m n c
jᵻːt	j ᵻː t	m n c
jᵻːu	j ᵻː w	m n c
jᵻːɥ	j ᵻː ɥ	m n c
jᵻːw	j ᵻː w	m n c
jᵻːy	j ᵻː ɥ	m n c
jᵻi	j ᵻ j	m n c
jᵻj	j ᵻ j	m n c
jᵻk	j ᵻ k	m n c
jᵻm	j ᵻ m	m n c
jᵻn	j ᵻ n	m n c
jᵻng	j ᵻ ŋ	m n c
jᵻŋ	j ᵻ ŋ	m n c
jᵻp	j ᵻ p	m n c
jᵻt	j ᵻ t	m n c
jᵻu	j ᵻ w	m n c
jᵻɥ	j ᵻ ɥ	m n c
jᵻw	j ᵻ w	m n c
jᵻy	j ᵻ ɥ	m n c
jo:i	j oː j	m n c
jø:i	j øː j	m n c
jo:j	j oː j	m n c
jø:j	j øː j	m n c
jo:k	j oː k	m n c
jø:k	j øː k	m n c
jo:m	j oː m	m n c
jø:m	j øː m	m n c
jo:n	j oː n	m n c
jø:n	j øː n	m n c
jo:ng	j oː ŋ	m n c
jø:ng	j øː ŋ	m n c
jo:ŋ	j oː ŋ	m n c
jø:ŋ	j øː ŋ	m n c
jo:p	j oː p	m n c
jø:p	j øː p	m n c
jo:t	j oː t	m n c
jø:t	j øː t	m n c
jo:u	j oː w	m n c
jø:u	j øː w	m n c
jo:ɥ	j oː ɥ	m n c
jø:ɥ	j øː ɥ	m n c
jo:w	j oː w	m n c
jø:w	j øː w	m n c
jo:y	j oː ɥ	m n c
jø:y	j øː ɥ	m n c
joːi	j oː j	m n c
jøːi	j øː j	m n c
joːj	j oː j	m n c
jøːj	j øː j	m n c
joːk	j oː k	m n c
jøːk	j øː k	m n c
joːm	j oː m	m n c
jøːm	j øː m	m n c
joːn	j oː n	m n c
jøːn	j øː n	m n c
joːng	j oː ŋ	m n c
jøːng	j øː ŋ	m n c
joːŋ	j oː ŋ	m n c
jøːŋ	j øː ŋ	m n c
joːp	j oː p	m n c
jøːp	j øː p	m n c
joːt	j oː t	m n c
jøːt	j øː t	m n c
joːu	j oː w	m n c
jøːu	j øː w	m n c
joːɥ	j oː ɥ	m n c
jøːɥ	j øː ɥ	m n c
joːw	j oː w	m n c
jøːw	j øː w	m n c
joːy	j oː ɥ	m n c
jøːy	j øː ɥ	m n c
joi	j o j	m n c
jøi	j ø j	m n c
joj	j o j	m n c
jøj	j ø j	m n c
jok	j o k	m n c
jøk	j ø k	m n c
jom	j o m	m n c
jøm	j ø m	m n c
jon	j o n	m n c
jøn	j ø n	m n c
jong	j o ŋ	m n c
jøng	j ø ŋ	m n c
joŋ	j o ŋ	m n c
jøŋ	j ø ŋ	m n c
jop	j o p	m n c
jøp	j ø p	m n c
jot	j o t	m n c
jøt	j ø t	m n c
jou	j o w	m n c
jøu	j ø w	m n c
joɥ	j o ɥ	m n c
jøɥ	j ø ɥ	m n c
jow	j o w	m n c
jøw	j ø w	m n c
joy	j o ɥ	m n c
jøy	j ø ɥ	m n c
jɔ:i	j ɔː j	m n c
jɔ:j	j ɔː j	m n c
jɔ:k	j ɔː k	m n c
jɔ:m	j ɔː m	m n c
jɔ:n	j ɔː n	m n c
jɔ:ng	j ɔː ŋ	m n c
jɔ:ŋ	j ɔː ŋ	m n c
jɔ:p	j ɔː p	m n c
jɔ:t	j ɔː t	m n c
jɔ:u	j ɔː w	m n c
jɔ:ɥ	j ɔː ɥ	m n c
jɔ:w	j ɔː w	m n c
jɔ:y	j ɔː ɥ	m n c
jɔːi	j ɔː j	m n c
jɔːj	j ɔː j	m n c
jɔːk	j ɔː k	m n c
jɔːm	j ɔː m	m n c
jɔːn	j ɔː n	m n c
jɔːng	j ɔː ŋ	m n c
jɔːŋ	j ɔː ŋ	m n c
jɔːp	j ɔː p	m n c
jɔːt	j ɔː t	m n c
jɔːu	j ɔː w	m n c
jɔːɥ	j ɔː ɥ	m n c
jɔːw	j ɔː w	m n c
jɔːy	j ɔː ɥ	m n c
jɔi	j ɔ j	m n c
jɔj	j ɔ j	m n c
jɔk	j ɔ k	m n c
jɔm	j ɔ m	m n c
jɔn	j ɔ n	m n c
jɔng	j ɔ ŋ	m n c
jɔŋ	j ɔ ŋ	m n c
jɔp	j ɔ p	m n c
jɔt	j ɔ t	m n c
jɔu	j ɔ w	m n c
jɔɥ	j ɔ ɥ	m n c
jɔw	j ɔ w	m n c
jɔy	j ɔ ɥ	m n c
jɿ:i	j ɿː j	m n c
jɿ:j	j ɿː j	m n c
jɿ:k	j ɿː k	m n c
jɿ:m	j ɿː m	m n c
jɿ:n	j ɿː n	m n c
jɿ:ng	j ɿː ŋ	m n c
jɿ:ŋ	j ɿː ŋ	m n c
jɿ:p	j ɿː p	m n c
jɿ:t	j ɿː t	m n c
jɿ:u	j ɿː w	m n c
jɿ:ɥ	j ɿː ɥ	m n c
jɿ:w	j ɿː w	m n c
jɿ:y	j ɿː ɥ	m n c
jɿːi	j ɿː j	m n c
jɿːj	j ɿː j	m n c
jɿːk	j ɿː k	m n c
jɿːm	j ɿː m	m n c
jɿːn	j ɿː n	m n c
jɿːng	j ɿː ŋ	m n c
jɿːŋ	j ɿː ŋ	m n c
jɿːp	j ɿː p	m n c
jɿːt	j ɿː t	m n c
jɿːu	j ɿː w	m n c
jɿːɥ	j ɿː ɥ	m n c
jɿːw	j ɿː w	m n c
jɿːy	j ɿː ɥ	m n c
jɿi	j ɿ j	m n c
jɿj	j ɿ j	m n c
jɿk	j ɿ k	m n c
jɿm	j ɿ m	m n c
jɿn	j ɿ n	m n c
jɿng	j ɿ ŋ	m n c
jɿŋ	j ɿ ŋ	m n c
jɿp	j ɿ p	m n c
jɿt	j ɿ t	m n c
jɿu	j ɿ w	m n c
jɿɥ	j ɿ ɥ	m n c
jɿw	j ɿ w	m n c
jɿy	j ɿ ɥ	m n c
jʅ:i	j ʅː j	m n c
jʅ:j	j ʅː j	m n c
jʅ:k	j ʅː k	m n c
jʅ:m	j ʅː m	m n c
jʅ:n	j ʅː n	m n c
jʅ:ng	j ʅː ŋ	m n c
jʅ:ŋ	j ʅː ŋ	m n c
jʅ:p	j ʅː p	m n c
jʅ:t	j ʅː t	m n c
jʅ:u	j ʅː w	m n c
jʅ:ɥ	j ʅː ɥ	m n c
jʅ:w	j ʅː w	m n c
jʅ:y	j ʅː ɥ	m n c
jʅːi	j ʅː j	m n c
jʅːj	j ʅː j	m n c
jʅːk	j ʅː k	m n c
jʅːm	j ʅː m	m n c
jʅːn	j ʅː n	m n c
jʅːng	j ʅː ŋ	m n c
jʅːŋ	j ʅː ŋ	m n c
jʅːp	j ʅː p	m n c
jʅːt	j ʅː t	m n c
jʅːu	j ʅː w	m n c
jʅːɥ	j ʅː ɥ	m n c
jʅːw	j ʅː w	m n c
jʅːy	j ʅː ɥ	m n c
jʅi	j ʅ j	m n c
jʅj	j ʅ j	m n c
jʅk	j ʅ k	m n c
jʅm	j ʅ m	m n c
jʅn	j ʅ n	m n c
jʅng	j ʅ ŋ	m n c
jʅŋ	j ʅ ŋ	m n c
jʅp	j ʅ p	m n c
jʅt	j ʅ t	m n c
jʅu	j ʅ w	m n c
jʅɥ	j ʅ ɥ	m n c
jʅw	j ʅ w	m n c
jʅy	j ʅ ɥ	m n c
ju:i	j uː j	m n c
ju:j	j uː j	m n c
ju:k	j uː k	m n c
ju:m	j uː m	m n c
ju:n	j uː n	m n c
ju:ng	j uː ŋ	m n c
ju:ŋ	j uː ŋ	m n c
ju:p	j uː p	m n c
ju:t	j uː t	m n c
ju:u	j uː w	m n c
ju:ɥ	j uː ɥ	m n c
ju:w	j uː w	m n c
ju:y	j uː ɥ	m n c
juːi	j uː j	m n c
juːj	j uː j	m n c
juːk	j uː k	m n c
juːm	j uː m	m n c
juːn	j uː n	m n c
juːng	j uː ŋ	m n c
juːŋ	j uː ŋ	m n c
juːp	j uː p	m n c
juːt	j uː t	m n c
juːu	j uː w	m n c
juːɥ	j uː ɥ	m n c
juːw	j uː w	m n c
juːy	j uː ɥ	m n c
jui	j u j	m n c
juj	j u j	m n c
juk	j u k	m n c
jum	j u m	m n c
jun	j u n	m n c
jung	j u ŋ	m n c
juŋ	j u ŋ	m n c
jup	j u p	m n c
jut	j u t	m n c
juu	j u w	m n c
juɥ	j u ɥ	m n c
juw	j u w	m n c
juy	j u ɥ	m n c
jʉ:i	j ʉː j	m n c
jʉ:j	j ʉː j	m n c
jʉ:k	j ʉː k	m n c
jʉ:m	j ʉː m	m n c
jʉ:n	j ʉː n	m n c
jʉ:ng	j ʉː ŋ	m n c
jʉ:ŋ	j ʉː ŋ	m n c
jʉ:p	j ʉː p	m n c
jʉ:t	j ʉː t	m n c
jʉ:u	j ʉː w	m n c
jʉ:ɥ	j ʉː ɥ	m n c
jʉ:w	j ʉː w	m n c
jʉ:y	j ʉː ɥ	m n c
jʉːi	j ʉː j	m n c
jʉːj	j ʉː j	m n c
jʉːk	j ʉː k	m n c
jʉːm	j ʉː m	m n c
jʉːn	j ʉː n	m n c
jʉːng	j ʉː ŋ	m n c
jʉːŋ	j ʉː ŋ	m n c
jʉːp	j ʉː p	m n c
jʉːt	j ʉː t	m n c
jʉːu	j ʉː w	m n c
jʉːɥ	j ʉː ɥ	m n c
jʉːw	j ʉː w	m n c
jʉːy	j ʉː ɥ	m n c
jʉi	j ʉ j	m n c
jʉj	j ʉ j	m n c
jʉk	j ʉ k	m n c
jʉm	j ʉ m	m n c
jʉn	j ʉ n	m n c
jʉng	j ʉ ŋ	m n c
jʉŋ	j ʉ ŋ	m n c
jʉp	j ʉ p	m n c
jʉt	j ʉ t	m n c
jʉu	j ʉ w	m n c
jʉɥ	j ʉ ɥ	m n c
jʉw	j ʉ w	m n c
jʉy	j ʉ ɥ	m n c
jʊ:i	j ʊː j	m n c
jʊ:j	j ʊː j	m n c
jʊ:k	j ʊː k	m n c
jʊ:m	j ʊː m	m n c
jʊ:n	j ʊː n	m n c
jʊ:ng	j ʊː ŋ	m n c
jʊ:ŋ	j ʊː ŋ	m n c
jʊ:p	j ʊː p	m n c
jʊ:t	j ʊː t	m n c
jʊ:u	j ʊː w	m n c
jʊ:ɥ	j ʊː ɥ	m n c
jʊ:w	j ʊː w	m n c
jʊ:y	j ʊː ɥ	m n c
jʊːi	j ʊː j	m n c
jʊːj	j ʊː j	m n c
jʊːk	j ʊː k	m n c
jʊːm	j ʊː m	m n c
jʊːn	j ʊː n	m n c
jʊːng	j ʊː ŋ	m n c
jʊːŋ	j ʊː ŋ	m n c
jʊːp	j ʊː p	m n c
jʊːt	j ʊː t	m n c
jʊːu	j ʊː w	m n c
jʊːɥ	j ʊː ɥ	m n c
jʊːw	j ʊː w	m n c
jʊːy	j ʊː ɥ	m n c
jʊi	j ʊ j	m n c
jʊj	j ʊ j	m n c
jʊk	j ʊ k	m n c
jʊm	j ʊ m	m n c
jʊn	j ʊ n	m n c
jʊng	j ʊ ŋ	m n c
jʊŋ	j ʊ ŋ	m n c
jʊp	j ʊ p	m n c
jʊt	j ʊ t	m n c
jʊu	j ʊ w	m n c
jʊɥ	j ʊ ɥ	m n c
jʊw	j ʊ w	m n c
jʊy	j ʊ ɥ	m n c
ua:i	w aː j	m n c
ua:j	w aː j	m n c
ua:k	w aː k	m n c
ua:m	w aː m	m n c
ua:n	w aː n	m n c
ua:ng	w aː ŋ	m n c
ua:ŋ	w aː ŋ	m n c
ua:p	w aː p	m n c
ua:t	w aː t	m n c
ua:u	w aː w	m n c
ua:ɥ	w aː ɥ	m n c
ua:w	w aː w	m n c
ua:y	w aː ɥ	m n c
uaːi	w aː j	m n c
uaːj	w aː j	m n c
uaːk	w aː k	m n c
uaːm	w aː m	m n c
uaːn	w aː n	m n c
uaːng	w aː ŋ	m n c
uaːŋ	w aː ŋ	m n c
uaːp	w aː p	m n c
uaːt	w aː t	m n c
uaːu	w aː w	m n c
uaːɥ	w aː ɥ	m n c
uaːw	w aː w	m n c
uaːy	w aː ɥ	m n c
uai	w a j	m n c
uaj	w a j	m n c
uak	w a k	m n c
uam	w a m	m n c
uan	w a n	m n c
uang	w a ŋ	m n c
uaŋ	w a ŋ	m n c
uap	w a p	m n c
uat	w a t	m n c
uau	w a w	m n c
uaɥ	w a ɥ	m n c
uaw	w a w	m n c
uay	w a ɥ	m n c
uᴀ:i	w ᴀː j	m n c
uᴀ:j	w ᴀː j	m n c
uᴀ:k	w ᴀː k	m n c
uᴀ:m	w ᴀː m	m n c
uᴀ:n	w ᴀː n	m n c
uᴀ:ng	w ᴀː ŋ	m n c
uᴀ:ŋ	w ᴀː ŋ	m n c
uᴀ:p	w ᴀː p	m n c
uᴀ:t	w ᴀː t	m n c
uᴀ:u	w ᴀː w	m n c
uᴀ:ɥ	w ᴀː ɥ	m n c
uᴀ:w	w ᴀː w	m n c
uᴀ:y	w ᴀː ɥ	m n c
uᴀːi	w ᴀː j	m n c
uᴀːj	w ᴀː j	m n c
uᴀːk	w ᴀː k	m n c
uᴀːm	w ᴀː m	m n c
uᴀːn	w ᴀː n	m n c
uᴀːng	w ᴀː ŋ	m n c
uᴀːŋ	w ᴀː ŋ	m n c
uᴀːp	w ᴀː p	m n c
uᴀːt	w ᴀː t	m n c
uᴀːu	w ᴀː w	m n c
uᴀːɥ	w ᴀː ɥ	m n c
uᴀːw	w ᴀː w	m n c
uᴀːy	w ᴀː ɥ	m n c
uᴀi	w ᴀ j	m n c
uᴀj	w ᴀ j	m n c
uᴀk	w ᴀ k	m n c
uᴀm	w ᴀ m	m n c
uᴀn	w ᴀ n	m n c
uᴀng	w ᴀ ŋ	m n c
uᴀŋ	w ᴀ ŋ	m n c
uᴀp	w ᴀ p	m n c
uᴀt	w ᴀ t	m n c
uᴀu	w ᴀ w	m n c
uᴀɥ	w ᴀ ɥ	m n c
uᴀw	w ᴀ w	m n c
uᴀy	w ᴀ ɥ	m n c
uɐ:i	w ɐː j	m n c
uɐ:j	w ɐː j	m n c
uɐ:k	w ɐː k	m n c
uɐ:m	w ɐː m	m n c
uɐ:n	w ɐː n	m n c
uɐ:ng	w ɐː ŋ	m n c
uɐ:ŋ	w ɐː ŋ	m n c
uɐ:p	w ɐː p	m n c
uɐ:t	w ɐː t	m n c
uɐ:u	w ɐː w	m n c
uɐ:ɥ	w ɐː ɥ	m n c
uɐ:w	w ɐː w	m n c
uɐ:y	w ɐː ɥ	m n c
uɐːi	w ɐː j	m n c
uɐːj	w ɐː j	m n c
uɐːk	w ɐː k	m n c
uɐːm	w ɐː m	m n c
uɐːn	w ɐː n	m n c
uɐːng	w ɐː ŋ	m n c
uɐːŋ	w ɐː ŋ	m n c
uɐːp	w ɐː p	m n c
uɐːt	w ɐː t	m n c
uɐːu	w ɐː w	m n c
uɐːɥ	w ɐː ɥ	m n c
uɐːw	w ɐː w	m n c
uɐːy	w ɐː ɥ	m n c
uɐi	w ɐ j	m n c
uɐj	w ɐ j	m n c
uɐk	w ɐ k	m n c
uɐm	w ɐ m	m n c
uɐn	w ɐ n	m n c
uɐng	w ɐ ŋ	m n c
uɐŋ	w ɐ ŋ	m n c
uɐp	w ɐ p	m n c
uɐt	w ɐ t	m n c
uɐu	w ɐ w	m n c
uɐɥ	w ɐ ɥ	m n c
uɐw	w ɐ w	m n c
uɐy	w ɐ ɥ	m n c
uɑ:i	w ɑː j	m n c
uɑ:j	w ɑː j	m n c
uɑ:k	w ɑː k	m n c
uɑ:m	w ɑː m	m n c
uɑ:n	w ɑː n	m n c
uɑ:ng	w ɑː ŋ	m n c
uɑ:ŋ	w ɑː ŋ	m n c
uɑ:p	w ɑː p	m n c
uɑ:t	w ɑː t	m n c
uɑ:u	w ɑː w	m n c
uɑ:ɥ	w ɑː ɥ	m n c
uɑ:w	w ɑː w	m n c
uɑ:y	w ɑː ɥ	m n c
uɑːi	w ɑː j	m n c
uɑːj	w ɑː j	m n c
uɑːk	w ɑː k	m n c
uɑːm	w ɑː m	m n c
uɑːn	w ɑː n	m n c
uɑːng	w ɑː ŋ	m n c
uɑːŋ	w ɑː ŋ	m n c
uɑːp	w ɑː p	m n c
uɑːt	w ɑː t	m n c
uɑːu	w ɑː w	m n c
uɑːɥ	w ɑː ɥ	m n c
uɑːw	w ɑː w	m n c
uɑːy	w ɑː ɥ	m n c
uɑi	w ɑ j	m n c
uɑj	w ɑ j	m n c
uɑk	w ɑ k	m n c
uɑm	w ɑ m	m n c
uɑn	w ɑ n	m n c
uɑng	w ɑ ŋ	m n c
uɑŋ	w ɑ ŋ	m n c
uɑp	w ɑ p	m n c
uɑt	w ɑ t	m n c
uɑu	w ɑ w	m n c
uɑɥ	w ɑ ɥ	m n c
uɑw	w ɑ w	m n c
uɑy	w ɑ ɥ	m n c
ue:i	w eː j	m n c
ue:j	w eː j	m n c
ue:k	w eː k	m n c
ue:m	w eː m	m n c
ue:n	w eː n	m n c
ue:ng	w eː ŋ	m n c
ue:ŋ	w eː ŋ	m n c
ue:p	w eː p	m n c
ue:t	w eː t	m n c
ue:u	w eː w	m n c
ue:ɥ	w eː ɥ	m n c
ue:w	w eː w	m n c
ue:y	w eː ɥ	m n c
ueːi	w eː j	m n c
ueːj	w eː j	m n c
ueːk	w eː k	m n c
ueːm	w eː m	m n c
ueːn	w eː n	m n c
ueːng	w eː ŋ	m n c
ueːŋ	w eː ŋ	m n c
ueːp	w eː p	m n c
ueːt	w eː t	m n c
ueːu	w eː w	m n c
ueːɥ	w eː ɥ	m n c
ueːw	w eː w	m n c
ueːy	w eː ɥ	m n c
uei	w e j	m n c
uej	w e j	m n c
uek	w e k	m n c
uem	w e m	m n c
uen	w e n	m n c
ueng	w e ŋ	m n c
ueŋ	w e ŋ	m n c
uep	w e p	m n c
uet	w e t	m n c
ueu	w e w	m n c
ueɥ	w e ɥ	m n c
uew	w e w	m n c
uey	w e ɥ	m n c
uᴇ:i	w ᴇː j	m n c
uᴇ:j	w ᴇː j	m n c
uᴇ:k	w ᴇː k	m n c
uᴇ:m	w ᴇː m	m n c
uᴇ:n	w ᴇː n	m n c
uᴇ:ng	w ᴇː ŋ	m n c
uᴇ:ŋ	w ᴇː ŋ	m n c
uᴇ:p	w ᴇː p	m n c
uᴇ:t	w ᴇː t	m n c
uᴇ:u	w ᴇː w	m n c
uᴇ:ɥ	w ᴇː ɥ	m n c
uᴇ:w	w ᴇː w	m n c
uᴇ:y	w ᴇː ɥ	m n c
uᴇːi	w ᴇː j	m n c
uᴇːj	w ᴇː j	m n c
uᴇːk	w ᴇː k	m n c
uᴇːm	w ᴇː m	m n c
uᴇːn	w ᴇː n	m n c
uᴇːng	w ᴇː ŋ	m n c
uᴇːŋ	w ᴇː ŋ	m n c
uᴇːp	w ᴇː p	m n c
uᴇːt	w ᴇː t	m n c
uᴇːu	w ᴇː w	m n c
uᴇːɥ	w ᴇː ɥ	m n c
uᴇːw	w ᴇː w	m n c
uᴇːy	w ᴇː ɥ	m n c
uᴇi	w ᴇ j	m n c
uᴇj	w ᴇ j	m n c
uᴇk	w ᴇ k	m n c
uᴇm	w ᴇ m	m n c
uᴇn	w ᴇ n	m n c
uᴇng	w ᴇ ŋ	m n c
uᴇŋ	w ᴇ ŋ	m n c
uᴇp	w ᴇ p	m n c
uᴇt	w ᴇ t	m n c
uᴇu	w ᴇ w	m n c
uᴇɥ	w ᴇ ɥ	m n c
uᴇw	w ᴇ w	m n c
uᴇy	w ᴇ ɥ	m n c
uə:i	w əː j	m n c
uə:j	w əː j	m n c
uə:k	w əː k	m n c
uə:m	w əː m	m n c
uə:n	w əː n	m n c
uə:ng	w əː ŋ	m n c
uə:ŋ	w əː ŋ	m n c
uə:p	w əː p	m n c
uə:t	w əː t	m n c
uə:u	w əː w	m n c
uə:ɥ	w əː ɥ	m n c
uə:w	w əː w	m n c
uə:y	w əː ɥ	m n c
uəːi	w əː j	m n c
uəːj	w əː j	m n c
uəːk	w əː k	m n c
uəːm	w əː m	m n c
uəːn	w əː n	m n c
uəːng	w əː ŋ	m n c
uəːŋ	w əː ŋ	m n c
uəːp	w əː p	m n c
uəːt	w əː t	m n c
uəːu	w əː w	m n c
uəːɥ	w əː ɥ	m n c
uəːw	w əː w	m n c
uəːy	w əː ɥ	m n c
uəi	w ə j	m n c
uəj	w ə j	m n c
uək	w ə k	m n c
uəm	w ə m	m n c
uən	w ə n	m n c
uəng	w ə ŋ	m n c
uəŋ	w ə ŋ	m n c
uəp	w ə p	m n c
uət	w ə t	m n c
uəu	w ə w	m n c
